,Title,Vote_Average
2395,Seven Minutes,3.8
2396,Cats & Dogs,5.4
2397,To All the Boys: P.S. I Still Love You,6.9
2398,Tamako Love Story,7.0
2399,Little Big Mouth,5.6
2400,I Feel Pretty,6.4
2401,The Three Deaths of Marisela Escobedo,9.0
2402,Lone Survivor,7.4
2403,Murder on the Orient Express,6.7
2404,Berserk: The Golden Age Arc III - The Advent,7.6
2405,The Last House on the Left,6.4
2406,Platoon,7.7
2407,Quest for Camelot,6.9
2408,My Sister's Keeper,7.4
2409,Death Proof,6.8
2410,Sex and Zen,5.5
2411,The Heist of the Century,7.9
2412,Renegades,5.7
2413,Jack Black: Spider-Man,6.7
2414,Let There Be Light,6.2
2415,On the Basis of Sex,7.4
2416,Mad Max 2,7.4
2417,The Darkest Minds,7.0
2418,Broken City,5.9
2419,Inazuma Eleven: The Movie,7.5
2420,The Killing of a Sacred Deer,7.0
2421,Shaun of the Dead,7.5
2422,Blue Bayou,7.6
2423,Oz the Great and Powerful,5.9
2424,Batman: Gotham by Gaslight,6.7
2425,Child 44,6.2
2426,Friday the 13th Part VII: The New Blood,5.5
2427,Torque,5.1
2428,Walking with Dinosaurs,6.0
2429,Security,5.7
2430,Lego DC Comics Super Heroes: The Flash,6.8
2431,Game of Thrones: The Last Watch,7.1
2432,Return of the Jedi,7.9
2433,Happily,5.7
2434,Lady Bloodfight,6.6
2435,Constantine: City of Demons - The Movie,7.9
2436,The Iceman,6.5
2437,Malcolm & Marie,7.0
2438,Demolition Man,6.6
2439,Puss in Boots: The Three Diablos,6.6
2440,Return to the Blue Lagoon,6.0
2441,The Kill Team,6.6
2442,Eyes Wide Shut,7.5
2443,Passing,6.5
2444,Diary of a Wimpy Kid: Rodrick Rules,6.6
2445,Euphoria,2.0
2446,TEKKEN: Kazuya's Revenge,4.1
2447,Selena,7.8
2448,Paddington 2,7.5
2449,First Man,7.0
2450,Step Up 2: The Streets,6.7
2451,The Transporter,6.7
2452,13 Going on 30,6.7
2453,Fantastic Four,5.8
2454,A Gruta,6.4
2455,Baby's Day Out,6.2
2456,An American Tail: Fievel Goes West,6.3
2457,Friday the 13th Part III,5.8
2458,The Peanuts Movie,6.8
2459,Click,6.2
2460,Teen Titans Go! To the Movies,7.4
2461,Captain Underpants: The First Epic Movie,6.2
2462,Sand Castle,6.5
2463,The Northman,0.0
2464,Instant Family,7.6
2465,Killers,5.9
2466,Bram Stoker's Dracula,7.4
2467,The Hills Have Eyes 2,5.5
2468,Peter Rabbit,6.7
2469,Dr. Strange,6.4
2470,Togo,8.2
2471,The Truman Show,8.1
2472,The Edge of Seventeen,7.2
2473,Lamb,6.5
2474,Underworld: Rise of the Lycans,6.5
2475,Only the Brave,7.4
2476,The Invisible Man,7.2
2477,RoboCop 2,5.9
2478,Mission: Impossible III,6.7
2479,Stonehearst Asylum,6.8
2480,Step Up Revolution,6.9
2481,The Thing,8.0
2482,Over the Hedge,6.5
2483,Robinson Crusoe,5.8
2484,USS Indianapolis: Men of Courage,5.9
2485,Blue Streak,6.4
2486,Vacancy,6.2
2487,Batman Unmasked: The Psychology of the Dark Knight,7.5
2488,xXx: State of the Union,5.0
2489,Professor Marston and the Wonder Women,7.3
2490,Coach Carter,7.5
2491,Lady Bird,7.3
2492,The Wave,6.7
2493,The Big Trip,7.1
2494,Dark Skies,6.3
2495,Little Fockers,5.6
2496,The Commuter,6.3
2497,The Adventures of Tintin,6.9
2498,GoldenEye,6.9
2499,Charlie St. Cloud,7.0
2500,Clueless,7.3
2501,The Bourne Identity,7.4
2502,Die goldene Banane von Bad Porno,5.2
2503,Flushed Away,6.2
2504,Horrible Bosses 2,6.2
2505,The Fourth Kind,6.2
2506,The Last Letter From Your Lover,7.5
2507,The Hunt,6.6
2508,The Cover,6.7
2509,Scars,7.2
2510,Interview with the Vampire,7.4
2511,The Raven,6.3
2512,Batman vs. Teenage Mutant Ninja Turtles,7.2
2513,90 Minutes in Heaven,6.1
2514,Run and Gun,6.3
2515,The Hunchback of Notre Dame II,5.3
2516,A Cinderella Story,6.5
2517,Hook,6.8
2518,Wizards of Waverly Place: The Movie,6.6
2519,12 Angry Men,8.5
2520,Inkheart,6.3
2521,The Girl on the Mountain,6.0
2522,Eden Lake,6.8
2523,Green Lantern: First Flight,7.0
2524,Identity Thief,5.8
2525,Ghost,7.2
2526,Run Hide Fight,6.6
2527,28 Weeks Later,6.6
2528,The Prestige,8.2
2529,Midnight Sun,7.8
2530,Gone in Sixty Seconds,6.4
2531,Fallen,6.1
2532,The Shape of Water,7.2
2533,Ben 10: Race Against Time,5.8
2534,Daddy's Home 2,6.3
2535,The Babadook,6.5
2536,The One,6.1
2537,The Possession of Hannah Grace,5.6
2538,The Age of Adaline,7.5
2539,The Haunting of Margam Castle,5.8
2540,Thunderball,6.6
2541,Wind River,7.4
2542,The Perfect Date,6.5
2543,Highlander,6.9
2544,Dumb and Dumber,6.6
2545,Bāhubali 2: The Conclusion,7.3
2546,Dirty Dancing,7.4
2547,Be Careful What You Wish For,6.6
2548,Dogwashers,6.5
2549,Anna,6.7
2550,Mazinger Z: Infinity,6.7
2551,Never Back Down 2: The Beatdown,6.4
2552,Annie,6.2
2553,"Everything, Everything",7.3
2554,Neighbors 2: Sorority Rising,5.8
2555,Saint Seiya: The Heated Battle of the Gods,7.5
2556,Slender Man,4.4
2557,The Wall,6.3
2558,Mainstream,6.4
2559,Last Days in the Desert,5.6
2560,A Question of Faith,7.5
2561,Look Away,6.6
2562,Mary Poppins Returns,6.5
2563,The Escort,6.0
2564,Hardcore Henry,6.3
2565,Showdown in Little Tokyo,6.3
2566,Welcome to the Jungle,5.1
2567,Max Steel,5.6
2568,Dragon Ball Z Side Story: Plan to Eradicate the Saiyans,6.3
2569,Last Action Hero,6.4
2570,You Only Live Twice,6.5
2571,Locked Down,5.4
2572,Cosmic Scrat-tastrophe,6.7
2573,X-Men: The Mutant Watch,7.2
2574,The Cat Returns,7.2
2575,The League of Extraordinary Gentlemen,5.9
2576,Nomadland,7.3
2577,Dragon Ball: Plan to Eradicate the Super Saiyans,7.1
2578,Gifted Hands: The Ben Carson Story,7.8
2579,The Scorpion King,5.6
2580,Madly Madagascar,6.5
2581,Burn,6.1
2582,Catwoman,4.6
2583,Indiana Jones and the Kingdom of the Crystal Skull,6.0
2584,The Orphanage,7.2
2585,Big Fish & Begonia,7.5
2586,Love Don't Co$t a Thing,7.0
2587,The Man from U.N.C.L.E.,7.1
2588,Back to the Future Part II,7.7
2589,The Bourne Supremacy,7.3
2590,Kidnap,6.2
2591,xXx,5.9
2592,Heks,6.3
2593,Once Upon a Time in the West,8.3
2594,Brightburn,6.1
2595,Cowboy Bebop: The Movie,7.7
2596,DC League of Super-Pets,0.0
2597,Cleopatra,7.1
2598,A Cure for Wellness,6.3
2599,Mojin: The Lost Legend,6.2
2600,South Park: Post COVID: The Return of COVID,7.5
2601,Originless,5.6
2602,Monster Family,5.9
2603,Don't Kill Me,4.0
2604,Reaching Distance,5.9
2605,Date Movie,4.2
2606,The Last Full Measure,7.6
2607,Police Story 3: Super Cop,6.7
2608,Pinocchio,6.6
2609,Z-O-M-B-I-E-S,7.4
2610,Kingdom: Ashin of the North,7.6
2611,The Secret Life of Walter Mitty,7.1
2612,The Karate Kid Part II,6.2
2613,I've Always Liked You,7.6
2614,Moana,7.6
2615,Last Looks,6.3
2616,Escape Plan,6.7
2617,Marriage Story,7.8
2618,The Perks of Being a Wallflower,7.8
2619,One Piece: Curse of the Sacred Sword,7.0
2620,Pride and Prejudice and Zombies,6.1
2621,Kuroko no Basket Movie 1: Winter Cup Soushuuhen - Kage to Hikari,6.8
2622,Oblivion,6.6
2623,HK: Forbidden Super Hero,6.3
2624,Nothing to Lose - Part 2,5.3
2625,"I Love You, Man",6.5
2626,Bulbbul,6.7
2627,Schumacher,7.4
2628,The Scorpion King: Book of Souls,5.9
2629,Museum,6.6
2630,Black Swan,7.6
2631,Star Wars: The Clone Wars,6.1
2632,Tarzan II,6.1
2633,Love Lesson,6.2
2634,Mercenaries,5.4
2635,All My Life,8.1
2636,The Devil All the Time,7.3
2637,A-X-L,6.3
2638,The Vow,7.2
2639,Coming to America,6.8
2640,Conan the Barbarian,6.8
2641,The Accountant,7.0
2642,After Porn Ends,5.7
2643,The Peacemaker,6.0
2644,Horrible Bosses,6.6
2645,Mowgli: Legend of the Jungle,6.5
2646,Unbreakable,7.1
2647,The Theory of Everything,7.9
2648,My Little Pony: Equestria Girls - Rainbow Rocks,8.0
2649,Lady and the Tramp II: Scamp's Adventure,6.4
2650,Curious George,6.3
2651,A Thousand Words,6.1
2652,Spider-Man 2: Making the Amazing,7.0
2653,Crazy Romance,7.2
2654,You Get Me,5.6
2655,App,5.1
2656,Sherlock: The Abominable Bride,7.9
2657,Jackass Presents: Bad Grandpa,6.1
2658,Blame!,6.4
2659,Justice League: The New Frontier,6.9
2660,Jason and the Argonauts,7.1
2661,The American,5.9
2662,[REC]²,6.6
2663,Monster Hunt,6.4
2664,College,4.6
2665,Scooby-Doo! Camp Scare,8.0
2666,Ghostland,7.4
2667,Private Valentine: Blonde & Dangerous,6.2
2668,A Perfect Fit,7.3
2669,Lovelace,6.0
2670,Blue Spring Ride,6.7
2671,Lolita,7.4
2672,Blood Money,6.1
2673,Doraemon: Nobita and the New Steel Troops: ~Winged Angels~,7.8
2674,Curve,5.8
2675,Sweat,6.8
2676,One Day,7.4
2677,Planet Hulk,7.0
2678,New Year's Eve,5.9
2679,Forever My Girl,7.6
2680,"Three Billboards Outside Ebbing, Missouri",8.1
2681,Operation Mekong,7.0
2682,Teen Beach Movie,6.9
2683,Huevos: Little Rooster's Egg-Cellent Adventure,7.0
2684,The Simpsons 20th Anniversary Special - In 3D! On Ice!,6.7
2685,Career Opportunities,6.7
2686,We're the Millers,6.8
2687,Lethal Weapon 4,6.6
2688,The Next Karate Kid,5.3
2689,Till Death,6.6
2690,Big Driver,5.7
2691,The Green Inferno,5.6
2692,Spartacus,7.6
2693,Doraemon: Nobita's Great Adventure in the Antarctic Kachi Kochi,7.5
2694,Cheeky,5.5
2695,Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,6.9
2696,The Italian Job,6.7
2697,American Made,6.8
2698,Shark Beach With Chris Hemsworth,6.4
2699,Pitch Perfect 3,6.6
2700,The Last Warrior,7.1
2701,Dante's Inferno: An Animated Epic,6.9
2702,The Thing,6.2
2703,The Father Who Moves Mountains,6.0
2704,My Little Pony: The Movie,7.2
2705,The Crow,7.5
2706,Clown,5.6
2707,Antz,6.1
2708,The Sixth Sense,7.9
2709,You Should Have Left,5.9
2710,The Patriot,7.1
2711,Along with the Gods: The Last 49 Days,8.3
2712,Operation Chromite,5.9
2713,Sky High,6.2
2714,Us,7.0
2715,The Hateful Eight,7.7
2716,Singularity,3.6
2717,La La Land,7.9
2718,Terrifier,6.4
2719,Barbie in the Pink Shoes,6.8
2720,Emmanuelle,5.9
2721,The Ant Bully,5.7
2722,Army of One,5.1
2723,Wonder Woman: Bloodlines,7.1
2724,Point Break,5.9
2725,The Sorcerer's Apprentice,6.1
2726,Friday the 13th: A New Beginning,5.3
2727,Letters to Juliet,7.0
2728,National Treasure: Book of Secrets,6.3
2729,Scooby-Doo! and the Cyber Chase,7.4
2730,Lawrence of Arabia,8.0
2731,Her,7.9
2732,Johnny English Strikes Again,6.2
2733,Case 39,6.3
2734,Gulliver's Travels,5.2
2735,Million Dollar Baby,8.0
2736,Dragon Ball: The Path to Power,7.2
2737,10 Cloverfield Lane,7.0
2738,Red Heat,6.1
2739,Uncut Gems,7.1
2740,The Nun,5.5
2741,Believe Me: The Abduction of Lisa McVey,8.3
2742,Guardians of the Galaxy Vol. 3,0.0
2743,Overlord,6.7
2744,Brokeback Mountain,7.8
2745,Warning,5.5
2746,Trouble with the Curve,6.9
2747,Samson and Delilah,6.5
2748,Life,6.4
2749,What's Your Number?,6.5
2750,American Pie: Revealed,5.9
2751,The Outpost,6.9
2752,The Ritual,6.2
2753,A Monster Calls,7.2
2754,The Animatrix,7.2
2755,Battle Angel,6.7
2756,Taylor Tomlinson: Look at You,8.0
2757,Herbie Fully Loaded,5.6
2758,The Pacifier,6.1
2759,Sully,7.1
2760,Apostle,6.1
2761,Magical Girl Lyrical Nanoha: Detonation,7.0
2762,High School Musical,6.6
2763,Tears of the Sun,6.8
2764,Atlantis: Milo's Return,6.2
2765,Killing Jesus,6.3
2766,Wolf Girl and Black Prince,6.6
2767,The Collector,6.6
2768,Nerve,7.1
2769,The Comeback Trail,5.8
2770,One Piece: Adventure of Nebulandia,7.4
2771,RoboCop,5.8
2772,Bachelorette,5.4
2773,Judge Dredd,5.7
2774,Hard Target 2,6.1
2775,Dragonheart: Battle for the Heartfire,6.2
2776,Memoirs of a Geisha,7.7
2777,Superman: Man of Tomorrow,7.3
2778,Promising Young Woman,7.6
2779,Private Lessons,5.7
2780,Bare Sex,7.7
2781,Scooby-Doo! in Where's My Mummy?,7.5
2782,The Hustle,6.3
2783,Killing Season,5.5
2784,Step Up All In,6.8
2785,Justice League: Crisis on Two Earths,7.4
2786,Song of the Sea,8.0
2787,In Bruges,7.5
2788,The Mountain Between Us,6.6
2789,Universal Soldier,6.3
2790,The Terminal,7.3
2791,Dragon Ball: Curse of the Blood Rubies,6.8
2792,Cheaper by the Dozen,6.3
2793,Vehicle 19,5.3
2794,City of God,8.4
2795,UglyDolls,6.7
2796,The Descendants,6.8
2797,Children of the Corn,5.7
2798,High School Musical 3: Senior Year,6.6
2799,Angela's Christmas Wish,6.4
2800,Sadako vs. Kayako,5.4
2801,21,6.7
2802,The Book of Eli,6.8
2803,Welcome Home,5.2
2804,Alien³,6.3
2805,Barbie: Spy Squad,7.0
2806,Reservoir Dogs,8.1
2807,Mamma Mia! Here We Go Again,7.2
2808,Kickboxer: Retaliation,5.4
2809,Fantastic Planet,7.7
2810,Fractured,6.7
2811,Megalodon,4.6
2812,Spectral,6.4
2813,The Strangers,6.1
2814,The World to Come,7.2
2815,Hall Pass,5.6
2816,Sin City,7.4
2817,Ama,6.5
2818,Con Air,6.7
2819,Christopher Robin,7.3
2820,One Piece: Baron Omatsuri and the Secret Island,7.1
2821,Before I Fall,7.0
2822,Lord of War,7.3
2823,Luther,6.5
2824,The World Is Not Enough,6.2
2825,The World's End,6.8
2826,In the Heights,7.3
2827,Endless Love,5.6
2828,Barnyard,5.8
2829,Diary of a Wimpy Kid: Dog Days,6.3
2830,Friday,7.1
2831,Assassination Nation,6.3
2832,Scooby-Doo! The Mystery Begins,6.5
2833,Captain Fantastic,7.9
2834,Ghost Ship,5.9
2835,Age of Tomorrow,3.0
2836,The Rock,7.1
2837,Mobile Suit Gundam Narrative,7.3
2838,The Lord of the Rings,6.6
2839,L: change the WorLd,5.8
2840,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",7.0
2841,Batman: Year One,7.3
2842,The Other Side of Heaven 2: Fire of Faith,5.1
2843,Hoodwinked Too! Hood VS. Evil,5.1
2844,The Lost Prince,5.8
2845,Stolen,5.4
2846,Freaks Out,7.5
2847,Viking,4.9
2848,Wishmaster 2: Evil Never Dies,5.5
2849,Caught by a Wave,6.7
2850,Death on the Nile,7.1
2851,Murder Mystery,6.3
2852,Doraemon: Nobita and the Kingdom of Clouds,7.0
2853,The Island,6.7
2854,50 First Dates,6.8
2855,The Running Man,6.5
2856,Dragonfly,6.5
2857,The Monuments Men,6.0
2858,The Descent: Part 2,5.9
2859,Birdman or (The Unexpected Virtue of Ignorance),7.5
2860,Irreversible,7.3
2861,Regular Show: The Movie,7.8
2862,Near Dark,6.9
2863,Megalodon Rising,7.0
2864,Jeepers Creepers: Reborn,2.0
2865,A Writer's Odyssey,7.4
2866,Evangelion: 3.0 You Can (Not) Redo,7.4
2867,Drunken Master,7.3
2868,Dark City,7.3
2869,The Handmaiden,8.3
2870,Daddy's Home,6.2
2871,Hard Target,6.3
2872,Red Riding Hood,6.0
2873,The Favourite,7.6
2874,CHiPS,6.1
2875,Camp Cool Kids,5.7
2876,New Nightmare,6.4
2877,Wild Wild West,5.3
2878,In the Heart of the Sea,6.7
2879,Slumdog Millionaire,7.7
2880,The Woman in the Window,6.1
2881,Evangelion: 1.0 You Are (Not) Alone,7.7
2882,Commando,6.6
2883,Joseph,8.4
2884,The Last Mark,2.0
2885,Open Season,6.1
2886,Barbie Presents: Thumbelina,6.6
2887,Snatch,7.8
2888,Groundhog Day,7.6
2889,The Lego Star Wars Holiday Special,6.8
2890,National Treasure,6.6
2891,American Gangster,7.6
2892,Fucking Different XXX,6.4
2893,Momentum,5.7
2894,Jurassic World: Dominion - Prologue,2.0
2895,Man on a Ledge,6.4
2896,The Man with the Iron Fists 2,5.7
2897,Bring It On: Worldwide #Cheersmack,6.0
2898,Talk Sex,4.8
2899,Brick Mansions,5.9
2900,The Legend of the Nahuala,7.6
2901,Stand by Me,7.9
2902,Valentine's Day,5.9
2903,You Again,6.3
2904,Witching & Bitching,6.3
2905,Silent Hill: Revelation 3D,5.4
2906,Hocus Pocus,7.0
2907,2067,5.1
2908,The Little Prince,7.6
2909,West Side Story,7.3
2910,Mike and Dave Need Wedding Dates,6.1
2911,Patriots Day,7.0
2912,The Black Devil and the White Prince,7.6
2913,Leprechaun Returns,6.0
2914,Tron,6.7
2915,The Debt Collector,5.9
2916,Tombstone,7.6
2917,EuroTrip,6.5
2918,Jungle,6.5
2919,Barbie Mariposa & the Fairy Princess,7.0
2920,El Camino: A Breaking Bad Movie,6.9
2921,Big Momma's House,5.8
2922,Ride Along 2,6.2
2923,The Quake,6.8
2924,Planes: Fire & Rescue,6.2
2925,Ben 10: Secret of the Omnitrix,7.2
2926,Evil Dead II,7.5
2927,X-Rated: The Greatest Adult Movies of All Time,5.9
2928,Ip Man 3,7.0
2929,Superman/Shazam!: The Return of Black Adam,7.3
2930,The Mask of Zorro,6.5
2931,Row 19,4.6
2932,General Cemetery,6.6
2933,Wildflower,5.3
2934,Dancing Queens,5.9
2935,Harmonie,7.1
2936,Do You Believe?,6.7
2937,Planet of the Apes,7.6
2938,Mars Needs Moms,6.0
2939,Monster Trucks,6.1
2940,Avatar: Creating the World of Pandora,6.7
2941,Moon,7.6
2942,Justin Bieber: Our World,7.2
2943,The Messenger: The Story of Joan of Arc,6.3
2944,Jackass: The Movie,6.2
2945,What Men Want,6.2
2946,What Women Want,6.4
2947,Diamonds Are Forever,6.4
2948,Throne of Elves,7.5
2949,District 13: Ultimatum,6.4
2950,Contagion,6.6
2951,Cheaper by the Dozen 2,6.1
2952,FernGully: The Last Rainforest,6.3
2953,Reaptown,4.7
2954,Pokémon: The Rise of Darkrai,6.8
2955,Speed Racer,6.2
2956,Pokémon: The First Movie - Mewtwo Strikes Back,6.9
2957,Searching,7.6
2958,The 100 Candles Game,5.9
2959,Camp Rock 2: The Final Jam,6.3
2960,Acts of Vengeance,5.9
2961,No Country for Old Men,7.9
2962,The Lucky One,7.1
2963,New Initial D the Movie - Legend 3: Dream,7.4
2964,How to Be Single,6.2
2965,Surrogates,6.1
2966,Enter the Dragon,7.4
2967,One Flew Over the Cuckoo's Nest,8.4
2968,The Land Before Time: The Great Valley Adventure,6.3
2969,Bliss,5.5
2970,The Light Between Oceans,7.1
2971,Dear Rider: The Jake Burton Story,5.6
2972,Prison Break: The Final Break,7.5
2973,Captain Phillips,7.6
2974,A Movie of Eggs,7.7
2975,Wallace & Gromit: The Curse of the Were-Rabbit,7.0
2976,Peter Pan,7.2
2977,Mama,6.2
2978,The Diary of Anne Frank,7.2
2979,Trolls Holiday,6.7
2980,Jurassic Park,7.9
2981,The Good Son,6.7
2982,Cruel Intentions,6.8
2983,Planet 51,5.8
2984,Police Academy,6.6
2985,Fantastic Mr. Fox,7.8
2986,Risen,6.1
2987,Pokémon 3: The Movie - Spell of the Unown,6.4
2988,All Saints,6.2
2989,Immortal Demon Slayer,7.7
2990,Azor,6.1
2991,Wish Upon,5.6
2992,Tremors 5: Bloodlines,5.4
2993,The Banker,7.5
2994,Rage,5.2
2995,The Host,6.3
2996,Return of the Living Dead III,6.7
2997,Lady and the Tramp,7.3
2998,The Book of Esther,6.0
2999,Death Note: The Last Name,6.9
3000,The Girl Who Leapt Through Time,7.8
3001,Max,7.1
3002,The Secret Lives of College Freshmen,2.0
3003,Gravity,7.2
3004,An American Werewolf in London,7.4
3005,Molly's Game,7.1
3006,Beauty and the Beast,6.1
3007,Top Secret!,7.1
3008,The Gods Must Be Crazy II,6.9
3009,Six Days Seven Nights,6.0
3010,Cannibal Holocaust,6.3
3011,The Dreamers,7.3
3012,Water and Fire,7.8
3013,Dances with Wolves,7.9
3014,Apocalypse Now,8.3
3015,Blockers,6.3
3016,Paddington,7.1
3017,The Voyeur,4.7
3018,Revenge,6.4
3019,No Man of God,6.8
3020,The Double,5.8
3021,Fist of Fury,7.3
3022,Kronk's New Groove,6.4
3023,My Life in Ruins,6.1
3024,"Kinsenas, Katapusan",4.0
3025,Get Rich or Die Tryin',6.7
3026,Barbie & Her Sisters in the Great Puppy Adventure,7.3
3027,The Living Daylights,6.5
3028,Mad Max,6.7
3029,Spy Kids: All the Time in the World,4.7
3030,Resident Evil: Degeneration,6.8
3031,The Lie,6.4
3032,Doraemon: Nobita and the Winged Braves,7.3
3033,Beauty and the Beast: The Enchanted Christmas,6.2
3034,Pitch Perfect,7.3
3035,Peach Girl,6.9
3036,One Piece: Dead End Adventure,6.9
3037,Discarnate,5.5
3038,Anaconda 3: Offspring,4.8
3039,Next Avengers: Heroes of Tomorrow,6.9
3040,Chungking Express,8.0
3041,Old Dogs,5.5
3042,Blood Father,6.2
3043,Scooby-Doo! WrestleMania Mystery,7.4
3044,Asura,7.0
3045,The Salvation,6.4
3046,A Wrinkle in Time,5.1
3047,Ender's Game,6.6
3048,A Princess for Christmas,7.1
3049,"No eres tú, soy yo",7.2
3050,Souvenir,6.6
3051,In Our Prime,0.0
3052,Cujo,6.0
3053,This Is 40,5.8
3054,"Mickey, Donald, Goofy: The Three Musketeers",6.6
3055,Siberia,4.7
3056,Lego Scooby-Doo!: Haunted Hollywood,7.4
3057,The Big Short,7.3
3058,Joy Ride,6.5
3059,Boo 2! A Madea Halloween,5.7
3060,Alien Outpost,5.3
3061,Army of Darkness,7.3
3062,A Simple Favor,6.6
3063,Gattaca,7.6
3064,The Death of Stalin,7.0
3065,Darkest Hour,7.4
3066,Gantz,6.6
3067,The Miseducation of Cameron Post,6.9
3068,Skiptrace,5.6
3069,Barbie: The Pearl Princess,7.0
3070,Extinction,6.0
3071,Magic Mike XXL,6.2
3072,Nightride,5.0
3073,Boruto: Jump Festa Special,5.7
3074,The Bible: In the Beginning...,7.2
3075,The Old Guard,7.2
3076,Dead Calm,6.6
3077,Faster,6.3
3078,Gremlins,7.1
3079,Redeeming Love,7.0
3080,The Crush,6.4
3081,Papillon,7.4
3082,Nick and Norah's Infinite Playlist,6.4
3083,Are We Done Yet?,5.7
3084,Resident Evil,6.6
3085,Mixtape,7.2
3086,Kite,4.4
3087,The Clovehitch Killer,6.4
3088,Bleach the Movie: Memories of Nobody,6.9
3089,The Miracle of Marcelino,7.1
3090,Rurouni Kenshin Part III: The Legend Ends,7.8
3091,Jingle Jangle: A Christmas Journey,6.7
3092,Breakthrough,7.7
3093,Teen Titans Go! vs. Teen Titans,8.0
3094,Ao Oni The Animation,4.0
3095,Vamps,5.3
3096,Yellowstone,7.0
3097,Anaconda,5.1
3098,Breakout,4.5
3099,30 Days of Night: Dark Days,4.9
3100,Return of the Tooth Fairy,6.4
3101,Precious Cargo,5.2
3102,The Hurt Locker,7.3
3103,The Fugitive,7.4
3104,Cool World,5.5
3105,Critters,6.4
3106,The Forbidden Kingdom,6.6
3107,I'm in Love with a Church Girl,6.2
3108,Monstruosamente Solo,4.9
3109,Who Am I?,7.1
3110,Sleepless,5.9
3111,Jumper,6.1
3112,Deep Blue Sea 2,5.2
3113,Birds of Paradise,6.9
3114,Scooby-Doo! Shaggy's Showdown,8.0
3115,The Ballad of Buster Scruggs,7.2
3116,One Piece Film: Strong World,7.5
3117,Gran Torino,8.0
3118,Primal: Tales of Savagery,8.4
3119,Iron Man & Captain America: Heroes United,6.3
3120,Hellraiser,6.9
3121,Piranha 3DD,4.3
3122,I Am Mortal,5.3
3123,A Good Man,5.1
3124,The Smurfs: The Legend of Smurfy Hollow,6.9
3125,The Naked Gun: From the Files of Police Squad!,7.2
3126,The Karate Kid Part III,5.9
3127,Hidden Leaf Village Grand Sports Festival!,7.4
3128,The Porno Killers,3.1
3129,Doctor Strange,6.9
3130,Movie 43,4.5
3131,The Assignment,5.4
3132,Instructions Not Included,7.7
3133,Prayers for the Stolen,8.1
3134,Rumble in the Bronx,6.8
3135,The Gods Must Be Crazy,7.3
3136,Dallas Buyers Club,7.9
3137,Wonder Park,6.4
3138,Young Mother 3,5.5
3139,Doraemon: Nobita and the Tin Labyrinth,7.3
3140,Victor Frankenstein,5.9
3141,Sinister 2,5.8
3142,Step Up,6.9
3143,Sunny Side Battle!,8.0
3144,As the Gods Will,7.2
3145,A Delicious Flight,4.1
3146,The Condemned,6.1
3147,Signs,6.6
3148,After Porn Ends 3,5.4
3149,Batman: Mask of the Phantasm,7.5
3150,"Crouching Tiger, Hidden Dragon",7.4
3151,Pokémon: Arceus and the Jewel of Life,7.2
3152,A Beautiful Mind,7.9
3153,Beneath the Planet of the Apes,6.2
3154,AEW Revolution,7.1
3155,National Lampoon's European Vacation,6.2
3156,Dilwale Dulhania Le Jayenge,8.7
3157,Monte Carlo,6.6
3158,Silk Road,6.7
3159,Justice League Dark,7.4
3160,They Live Inside Us,5.9
3161,Zombie Night,3.9
3162,The Man with the Iron Heart,6.6
3163,Fate/stay night: Unlimited Blade Works,7.1
3164,Curiosa,6.0
3165,Every Day,7.2
3166,The Invasion,6.0
3167,Rendel,5.4
3168,The Princess Switch,7.1
3169,Ri¢hie Ri¢h,5.9
3170,30 Days of Night,6.4
3171,The Hurricane Heist,5.7
3172,Species: The Awakening,4.7
3173,The Adventures of Ichabod and Mr. Toad,6.5
3174,Grimsby,5.9
3175,Goodbye Summer,5.8
3176,Memento,8.2
3177,"Honey, I Shrunk the Kids",6.3
3178,The Others,7.6
3179,The Final,6.0
3180,Halloween: Resurrection,4.6
3181,Flawless,6.6
3182,Halo: Landfall,5.7
3183,Curious George: Cape Ahoy,3.5
3184,The Wishmas Tree,6.8
3185,Bright,6.2
3186,[REC]⁴ Apocalypse,5.6
3187,Peppermint,6.7
3188,Ben 10: Destroy All Aliens,6.2
3189,Game Night,6.8
3190,We Are Your Friends,6.7
3191,Walking Tall,6.3
3192,Shrek the Halls,6.3
3193,Aquamarine,6.3
3194,Addicted,5.9
3195,Dragon Ball: Sleeping Princess in Devil's Castle,6.5
3196,Casino,8.0
3197,Ticking Clock,5.4
3198,Children of the Living Dead,3.3
3199,Secretary,6.8
3200,"Me, Myself & Irene",6.6
3201,The Social Dilemma,7.5
3202,Doom: Annihilation,4.9
3203,The Basketball Diaries,7.4
3204,Mean Girls 2,5.3
3205,Apostasy,6.7
3206,Supernova,7.0
3207,Sex Weather,6.0
3208,The Impossible,7.3
3209,Saludos Amigos,5.9
3210,Until Forever,7.6
3211,New Police Story,7.0
3212,Sharpay's Fabulous Adventure,6.1
3213,Triple Threat,6.4
3214,The Crazies,6.2
3215,The Swan Princess,6.6
3216,The Spectacular Now,6.6
3217,Shanghai Noon,6.4
3218,Taxi,5.5
3219,Come and See,8.3
3220,A Cinderella Story: Starstruck,7.4
3221,Magic Mike,6.1
3222,Stuck Together,6.1
3223,After.Life,6.2
3224,Prisoners of the Ghostland,5.1
3225,Primal,5.8
3226,Stomp the Yard,6.8
3227,Deep Impact,6.2
